安徽组播,#genre#
阜阳教育频道,http://60.169.43.41:4000/udp/238.1.78.126:6880
阜阳都市频道,http://60.169.43.41:4000/udp/238.1.78.127:6888
颍上新闻综合,http://60.169.43.41:4000/udp/238.1.78.194:7424
界首综合频道,http://60.169.43.41:4000/udp/238.1.78.195:7432
临泉新闻频道,http://60.169.43.41:4000/udp/238.1.78.29:6160
阜南新闻综合,http://60.169.43.41:4000/udp/238.1.79.11:4200
亳州综合频道,http://60.169.43.41:4000/udp/238.1.78.128:6896
亳州农村频道,http://60.169.43.41:4000/udp/238.1.78.129:6904
利辛新闻综合,http://60.169.43.41:4000/udp/238.1.78.196:7440
涡阳新闻综合,http://60.169.43.41:4000/udp/238.1.78.197:7448
蒙城新闻频道,http://60.169.43.41:4000/udp/238.1.79.19:4264

CCTV1-综合,http://36.6.150.141:8888/udp/238.1.78.166:7200
CCTV2-财经,http://36.6.150.141:8888/udp/238.1.78.235:7752
CCTV3-综艺,http://36.6.150.141:8888/udp/238.1.78.170:7232
CCTV4-中文国际,http://36.6.150.141:8888/udp/238.1.78.236:7760
CCTV5-体育,http://36.6.150.141:8888/udp/238.1.78.171:7240
CCTV5+体育赛事,http://36.6.150.141:8888/udp/238.1.78.237:7768"
CCTV6-电影,http://36.6.150.141:8888/udp/238.1.78.172:7248
CCTV7-国防军事,http://36.6.150.141:8888/udp/238.1.78.239:7784
CCTV8-电视剧,http://36.6.150.141:8888/udp/238.1.78.173:7256
CCTV9-记录,http://36.6.150.141:8888/udp/238.1.78.240:7792
CCTV10-科教,http://36.6.150.141:8888/udp/238.1.78.241:7800
CCTV11-戏曲,http://36.6.150.141:8888/udp/238.1.78.206:7502
CCTV12-社会与法,http://36.6.150.141:8888/udp/238.1.78.242:7808
CCTV13-新闻,http://36.6.150.141:8888/udp/238.1.79.35:4392
CCTV14-少儿,http://36.6.150.141:8888/udp/238.1.78.243:7816
