更新时间: 2025-11-28 18:46:29（北京时间）

更新时间,#genre#
2025-11-28 18:46:29,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
广西卫视,http://58.38.126.237:4022/rtp/239.45.0.5:5140$上海市电信
广西卫视,http://58.38.126.237:4022/rtp/233.18.204.107:5140$上海市电信
东南卫视,http://123.113.182.104:8001/rtp/239.3.1.156:8148$北京市联通
东南卫视,http://116.235.252.22:8888/rtp/239.45.1.121:5140$上海市电信
东南卫视,http://116.235.252.22:8888/rtp/233.18.204.94:5140$上海市电信
东南卫视,http://58.38.126.237:4022/rtp/239.45.1.121:5140$上海市电信
东南卫视,http://58.38.126.237:4022/rtp/233.18.204.94:5140$上海市电信
海南卫视,http://116.235.252.22:8888/rtp/233.18.204.102:5140$上海市电信
海南卫视,http://116.235.252.22:8888/rtp/239.45.1.81:5140$上海市电信
海南卫视,http://58.38.126.237:4022/rtp/233.18.204.102:5140$上海市电信
海南卫视,http://58.38.126.237:4022/rtp/239.45.1.81:5140$上海市电信
河北卫视,http://123.113.182.104:8001/rtp/239.3.1.148:8072$北京市联通
河北卫视,http://116.235.252.22:8888/rtp/239.45.1.44:5140$上海市电信
河北卫视,http://116.235.252.22:8888/rtp/233.18.204.103:5140$上海市电信
河北卫视,http://58.38.126.237:4022/rtp/239.45.1.44:5140$上海市电信
河北卫视,http://58.38.126.237:4022/rtp/233.18.204.103:5140$上海市电信
河南卫视,http://123.113.182.104:8001/rtp/239.3.1.50:8184$北京市联通
河南卫视,http://116.235.252.22:8888/rtp/239.45.0.3:5140$上海市电信
河南卫视,http://116.235.252.22:8888/rtp/233.18.204.105:5140$上海市电信
河南卫视,http://58.38.126.237:4022/rtp/239.45.0.3:5140$上海市电信
河南卫视,http://58.38.126.237:4022/rtp/233.18.204.105:5140$上海市电信
湖北卫视,http://123.113.182.104:8001/rtp/239.3.1.138:8044$北京市联通
湖北卫视,http://116.235.252.22:8888/rtp/239.45.3.239:5140$上海市电信
湖北卫视,http://116.235.252.22:8888/rtp/233.18.204.92:5140$上海市电信
湖北卫视,http://58.38.126.237:4022/rtp/239.45.3.239:5140$上海市电信
湖北卫视,http://58.38.126.237:4022/rtp/233.18.204.92:5140$上海市电信
江西卫视,http://123.113.182.104:8001/rtp/239.3.1.123:8164$北京市联通
江西卫视,http://116.235.252.22:8888/rtp/239.45.1.122:5140$上海市电信
江西卫视,http://116.235.252.22:8888/rtp/233.18.204.95:5140$上海市电信
江西卫视,http://58.38.126.237:4022/rtp/239.45.1.122:5140$上海市电信
江西卫视,http://58.38.126.237:4022/rtp/233.18.204.95:5140$上海市电信
四川卫视,http://123.113.182.104:8001/rtp/239.3.1.131:3001$北京市联通
四川卫视,http://116.235.252.22:8888/rtp/239.45.1.23:5140$上海市电信
四川卫视,http://116.235.252.22:8888/rtp/239.45.1.83:5140$上海市电信
四川卫视,http://116.235.252.22:8888/rtp/233.18.204.99:5140$上海市电信
四川卫视,http://116.235.252.22:8888/rtp/239.45.3.48:5140$上海市电信
四川卫视,http://58.38.126.237:4022/rtp/239.45.1.23:5140$上海市电信
四川卫视,http://58.38.126.237:4022/rtp/239.45.1.83:5140$上海市电信
四川卫视,http://58.38.126.237:4022/rtp/233.18.204.99:5140$上海市电信
四川卫视,http://58.38.126.237:4022/rtp/239.45.3.48:5140$上海市电信
重庆卫视,http://123.113.182.104:8001/rtp/239.3.1.122:8160$北京市联通
重庆卫视,http://116.235.252.22:8888/rtp/239.45.1.84:5140$上海市电信
重庆卫视,http://116.235.252.22:8888/rtp/233.18.204.100:5140$上海市电信
重庆卫视,http://58.38.126.237:4022/rtp/239.45.1.84:5140$上海市电信
重庆卫视,http://58.38.126.237:4022/rtp/233.18.204.100:5140$上海市电信
贵州卫视,http://123.113.182.104:8001/rtp/239.3.1.149:8076$北京市联通
贵州卫视,http://116.235.252.22:8888/rtp/239.45.1.80:5140$上海市电信
贵州卫视,http://116.235.252.22:8888/rtp/233.18.204.101:5140$上海市电信
贵州卫视,http://58.38.126.237:4022/rtp/239.45.1.80:5140$上海市电信
贵州卫视,http://58.38.126.237:4022/rtp/233.18.204.101:5140$上海市电信
云南卫视,http://116.235.252.22:8888/rtp/239.45.3.206:5140$上海市电信
云南卫视,http://116.235.252.22:8888/rtp/239.45.0.4:5140$上海市电信
云南卫视,http://116.235.252.22:8888/rtp/233.18.204.106:5140$上海市电信
云南卫视,http://58.38.126.237:4022/rtp/239.45.3.206:5140$上海市电信
云南卫视,http://58.38.126.237:4022/rtp/239.45.0.4:5140$上海市电信
云南卫视,http://58.38.126.237:4022/rtp/233.18.204.106:5140$上海市电信
天津卫视,http://123.113.182.104:8001/rtp/239.3.1.141:1234$北京市联通
天津卫视,http://116.235.252.22:8888/rtp/239.45.1.124:5140$上海市电信
天津卫视,http://116.235.252.22:8888/rtp/233.18.204.97:5140$上海市电信
天津卫视,http://58.38.126.237:4022/rtp/239.45.1.124:5140$上海市电信
天津卫视,http://58.38.126.237:4022/rtp/233.18.204.97:5140$上海市电信
安徽卫视,http://123.113.182.104:8001/rtp/239.3.1.211:8064$北京市联通
安徽卫视,http://116.235.252.22:8888/rtp/239.45.3.143:5140$上海市电信
安徽卫视,http://116.235.252.22:8888/rtp/239.45.1.120:5140$上海市电信
安徽卫视,http://116.235.252.22:8888/rtp/233.18.204.93:5140$上海市电信
