央视,#genre#
CCTV10,http://27.10.72.86:8001/udp/225.0.4.130:7980
CCTV11,http://27.10.72.86:8001/udp/225.0.4.218:7980
CCTV12,http://27.10.72.86:8001/udp/225.0.4.129:7980
CCTV13,http://27.10.72.86:8001/udp/225.0.4.219:7980
CCTV14,http://27.10.72.86:8001/udp/225.0.4.128:7980
CCTV15,http://27.10.72.86:8001/udp/225.0.4.220:7980
CCTV17,http://27.10.72.86:8001/udp/225.0.4.179:7980
CCTV1,http://27.10.72.86:8002/udp/225.0.4.74:7980
CCTV2,http://27.10.72.86:8002/udp/225.0.4.132:7980
CCTV3,http://27.10.72.86:8002/udp/225.0.4.142:7980
CCTV4,http://27.10.72.86:8002/udp/225.0.4.176:7980
CCTV5,http://27.10.72.86:8002/udp/225.0.4.143:7980
CCTV5+,http://27.10.72.86:8002/udp/225.0.4.73:7980
CCTV6,http://27.10.72.86:8002/udp/225.0.4.144:7980
CCTV7,http://27.10.72.86:8002/udp/225.0.4.127:7980
CCTV8,http://27.10.72.86:8002/udp/225.0.4.137:7980
CCTV9,http://27.10.72.86:8002/udp/225.0.4.131:7980
CCTV10,http://27.10.72.86:8002/udp/225.0.4.130:7980
CCTV11,http://27.10.72.86:8002/udp/225.0.4.218:7980
CCTV12,http://27.10.72.86:8002/udp/225.0.4.129:7980
CCTV13,http://27.10.72.86:8002/udp/225.0.4.219:7980
CCTV14,http://27.10.72.86:8002/udp/225.0.4.128:7980
CCTV15,http://27.10.72.86:8002/udp/225.0.4.220:7980
CCTV17,http://27.10.72.86:8002/udp/225.0.4.179:7980
卫视,#genre#
广西卫视,http://110.72.71.96:808/hls/9/index.m3u8
广东卫视,http://110.72.71.96:808/hls/11/index.m3u8
南方卫视,http://110.72.71.96:808/hls/81/index.m3u8
湖南卫视,http://110.72.71.96:808/hls/25/index.m3u8
湖北卫视,http://110.72.71.96:808/hls/27/index.m3u8
深圳卫视,http://110.72.71.96:808/hls/1033/index.m3u8
四川卫视,http://110.72.71.96:808/hls/44/index.m3u8
东方卫视,http://110.72.71.96:808/hls/29/index.m3u8
星空卫视,http://110.72.71.96:808/hls/60/index.m3u8
云南卫视,http://110.72.71.96:808/hls/15/index.m3u8
辽宁卫视,http://110.72.71.96:808/hls/2/index.m3u8
安徽卫视,http://110.72.71.96:808/hls/145/index.m3u8
北京卫视,http://110.72.71.96:808/hls/137/index.m3u8
福建卫视,http://110.72.71.96:808/hls/121/index.m3u8
天津卫视,http://110.72.71.96:808/hls/20/index.m3u8
江苏卫视,http://110.72.71.96:808/hls/30/index.m3u8
重庆卫视,http://110.72.71.96:808/hls/33/index.m3u8
厦门卫视,http://110.72.71.96:808/hls/122/index.m3u8
浙江卫视,http://110.72.71.96:808/hls/34/index.m3u8
山东卫视,http://110.72.71.96:808/hls/35/index.m3u8
黑龙江卫视,http://110.72.71.96:808/hls/43/index.m3u8
山西卫视,http://110.72.71.96:808/hls/42/index.m3u8
河南卫视,http://110.72.71.96:808/hls/49/index.m3u8
宁夏卫视,http://110.72.71.96:808/hls/50/index.m3u8
江西卫视,http://110.72.71.96:808/hls/41/index.m3u8
甘肃卫视,http://110.72.71.96:808/hls/19/index.m3u8
旅游卫视,http://110.72.71.96:808/hls/1/index.m3u8
贵州卫视,http://110.72.71.96:808/hls/52/index.m3u8
陕西卫视,http://110.72.71.96:808/hls/17/index.m3u8
农林卫视,http://110.72.71.96:808/hls/18/index.m3u8
青海卫视,http://110.72.71.96:808/hls/3/index.m3u8
安多卫视,http://110.72.71.96:808/hls/4/index.m3u8
河北卫视,http://110.72.71.96:808/hls/51/index.m3u8
凤凰卫视,http://110.72.71.96:808/hls/62/index.m3u8
香港卫视,http://110.72.71.96:808/hls/333/index.m3u8
海峡卫视,http://110.72.71.96:808/hls/72/index.m3u8
深圳卫视,http://110.72.71.96:808/hls/1033/index.m3u8
陕西卫视,http://110.72.71.96:808/hls/17/index.m3u8
广西卫视,http://110.72.66.173:808/hls/9/index.m3u8
广东卫视,http://110.72.66.173:808/hls/11/index.m3u8
南方卫视,http://110.72.66.173:808/hls/81/index.m3u8
湖南卫视,http://110.72.66.173:808/hls/25/index.m3u8
湖北卫视,http://110.72.66.173:808/hls/27/index.m3u8
深圳卫视,http://110.72.66.173:808/hls/1033/index.m3u8
四川卫视,http://110.72.66.173:808/hls/44/index.m3u8
东方卫视,http://110.72.66.173:808/hls/29/index.m3u8
星空卫视,http://110.72.66.173:808/hls/60/index.m3u8
云南卫视,http://110.72.66.173:808/hls/15/index.m3u8
辽宁卫视,http://110.72.66.173:808/hls/2/index.m3u8
安徽卫视,http://110.72.66.173:808/hls/145/index.m3u8
北京卫视,http://110.72.66.173:808/hls/137/index.m3u8
福建卫视,http://110.72.66.173:808/hls/121/index.m3u8
天津卫视,http://110.72.66.173:808/hls/20/index.m3u8
江苏卫视,http://110.72.66.173:808/hls/30/index.m3u8
重庆卫视,http://110.72.66.173:808/hls/33/index.m3u8
厦门卫视,http://110.72.66.173:808/hls/122/index.m3u8
浙江卫视,http://110.72.66.173:808/hls/34/index.m3u8
山东卫视,http://110.72.66.173:808/hls/35/index.m3u8
黑龙江卫视,http://110.72.66.173:808/hls/43/index.m3u8
山西卫视,http://110.72.66.173:808/hls/42/index.m3u8
河南卫视,http://110.72.66.173:808/hls/49/index.m3u8
宁夏卫视,http://110.72.66.173:808/hls/50/index.m3u8
江西卫视,http://110.72.66.173:808/hls/41/index.m3u8
甘肃卫视,http://110.72.66.173:808/hls/19/index.m3u8
旅游卫视,http://110.72.66.173:808/hls/1/index.m3u8
贵州卫视,http://110.72.66.173:808/hls/52/index.m3u8
陕西卫视,http://110.72.66.173:808/hls/17/index.m3u8
农林卫视,http://110.72.66.173:808/hls/18/index.m3u8
青海卫视,http://110.72.66.173:808/hls/3/index.m3u8
安多卫视,http://110.72.66.173:808/hls/4/index.m3u8
河北卫视,http://110.72.66.173:808/hls/51/index.m3u8
凤凰卫视,http://110.72.66.173:808/hls/62/index.m3u8
香港卫视,http://110.72.66.173:808/hls/333/index.m3u8
海峡卫视,http://110.72.66.173:808/hls/72/index.m3u8
深圳卫视,http://110.72.66.173:808/hls/1033/index.m3u8
陕西卫视,http://110.72.66.173:808/hls/17/index.m3u8
河北卫视,http://111.225.95.87:8800/hls/17/index.m3u8
湖南卫视,http://111.225.95.87:8800/hls/30/index.m3u8
浙江卫视,http://111.225.95.87:8800/hls/31/index.m3u8
江苏卫视,http://111.225.95.87:8800/hls/32/index.m3u8
安徽卫视,http://111.225.95.87:8800/hls/33/index.m3u8
北京卫视,http://111.225.95.87:8800/hls/34/index.m3u8
天津卫视,http://111.225.95.87:8800/hls/35/index.m3u8
辽宁卫视,http://111.225.95.87:8800/hls/36/index.m3u8
山东卫视,http://111.225.95.87:8800/hls/37/index.m3u8
云南卫视,http://111.225.95.87:8800/hls/38/index.m3u8
河南卫视,http://111.225.95.87:8800/hls/39/index.m3u8
黑龙江卫视,http://111.225.95.87:8800/hls/40/index.m3u8
四川卫视,http://111.225.95.87:8800/hls/41/index.m3u8
江西卫视,http://111.225.95.87:8800/hls/42/index.m3u8
贵州卫视,http://111.225.95.87:8800/hls/43/index.m3u8
深圳卫视,http://111.225.95.87:8800/hls/44/index.m3u8
湖北卫视,http://111.225.95.87:8800/hls/45/index.m3u8
东方卫视,http://111.225.95.87:8800/hls/46/index.m3u8
重庆卫视,http://111.225.95.87:8800/hls/47/index.m3u8
东南卫视,http://111.225.95.87:8800/hls/48/index.m3u8
广东卫视,http://111.225.95.87:8800/hls/49/index.m3u8
广西卫视,http://111.225.95.87:8800/hls/50/index.m3u8
吉林卫视,http://111.225.95.87:8800/hls/51/index.m3u8
陕西卫视,http://111.225.95.87:8800/hls/52/index.m3u8
山西卫视,http://111.225.95.87:8800/hls/53/index.m3u8
内蒙古卫视,http://111.225.95.87:8800/hls/54/index.m3u8
青海卫视,http://111.225.95.87:8800/hls/55/index.m3u8
宁夏卫视,http://111.225.95.87:8800/hls/57/index.m3u8
西藏卫视,http://111.225.95.87:8800/hls/58/index.m3u8
新疆卫视,http://111.225.95.87:8800/hls/59/index.m3u8
山西卫视,http://60.220.167.243:8085/rtp/226.0.2.11:8000
湖南卫视,http://60.220.167.243:8085/rtp/226.0.2.143:9056
浙江卫视,http://60.220.167.243:8085/rtp/226.0.2.144:9064
安徽卫视,http://60.220.167.243:8085/rtp/226.0.2.145:9072
广东卫视,http://60.220.167.243:8085/rtp/226.0.2.146:9080
深圳卫视,http://60.220.167.243:8085/rtp/226.0.2.147:9088
天津卫视,http://60.220.167.243:8085/rtp/226.0.2.148:9096
山东卫视,http://60.220.167.243:8085/rtp/226.0.2.149:9104
湖北卫视,http://60.220.167.243:8085/rtp/226.0.2.150:9112
黑龙江卫视,http://60.220.167.243:8085/rtp/226.0.2.151:9120
山西卫视,http://60.220.167.243:8085/rtp/226.0.2.152:9128
辽宁卫视,http://60.220.167.243:8085/rtp/226.0.2.173:9296
重庆卫视,http://60.220.167.243:8085/rtp/226.0.2.174:9304
东方卫视,http://60.220.167.243:8085/rtp/226.0.2.175:9312
江苏卫视,http://60.220.167.243:8085/rtp/226.0.2.176:9320
北京卫视,http://60.220.167.243:8085/rtp/226.0.2.177:9328
河北卫视,http://60.220.167.243:8085/rtp/226.0.2.178:9336
四川卫视,http://60.220.167.243:8085/rtp/226.0.2.179:9344
贵州卫视,http://60.220.167.243:8085/rtp/226.0.2.180:9352
