江苏电信组播,#genre#
直播室5HD,http://fengqiang.press:8188/rtp/239.49.8.164:6000
直播室6,http://fengqiang.press:8188/rtp/239.49.1.205:6000
直播室6HD,http://fengqiang.press:8188/rtp/239.49.8.165:6000
直播室7,http://fengqiang.press:8188/rtp/239.49.1.206:6000
直播室7HD,http://fengqiang.press:8188/rtp/239.49.8.166:6000
直播室8,http://fengqiang.press:8188/rtp/239.49.1.207:6000
直播室8HD,http://fengqiang.press:8188/rtp/239.49.8.169:6000
直播室9,http://fengqiang.press:8188/rtp/239.49.1.208:6000
直播室9HD,http://fengqiang.press:8188/rtp/239.49.8.170:6000

北京联通组播,#genre#
BRTV北京卫视[高清],http://home4.kmo.ink:8888/rtp/239.3.1.241:8000
BRTV新闻[高清],http://home4.kmo.ink:8888/rtp/239.3.1.159:8000
BRTV影视[高清],http://home4.kmo.ink:8888/rtp/239.3.1.158:8000
BRTV文艺[高清],http://home4.kmo.ink:8888/rtp/239.3.1.242:8000
BRTV财经[高清],http://home4.kmo.ink:8888/rtp/239.3.1.116:8000
BRTV生活[高清],http://home4.kmo.ink:8888/rtp/239.3.1.117:8000
BRTV纪实科教[高清],http://home4.kmo.ink:8888/rtp/239.3.1.115:8000
BRTV卡酷少儿[高清],http://home4.kmo.ink:8888/rtp/239.3.1.189:8000
BRTV体育休闲[超清],http://home4.kmo.ink:8888/rtp/239.3.1.243:8000
BRTV国际频道[超清],http://home4.kmo.ink:8888/rtp/239.3.1.235:8000
CCTV-1 综合[高清],http://home4.kmo.ink:8888/rtp/239.3.1.129:8008
CCTV-2 财经[高清],http://home4.kmo.ink:8888/rtp/239.3.1.60:8084
CCTV-3 综艺[高清],http://home4.kmo.ink:8888/rtp/239.3.1.172:8001
CCTV-4 中文国际[高清],http://home4.kmo.ink:8888/rtp/239.3.1.105:8092
CCTV-4 中文国际 欧洲[高清],http://home4.kmo.ink:8888/rtp/239.3.1.213:4220
CCTV-4 中文国际 美洲[高清],http://home4.kmo.ink:8888/rtp/239.3.1.214:4220
CCTV-5 体育[高清],http://home4.kmo.ink:8888/rtp/239.3.1.173:8001
CCTV-5+ 体育赛事[高清],http://home4.kmo.ink:8888/rtp/239.3.1.130:8004
CCTV-6 电影[高清],http://home4.kmo.ink:8888/rtp/239.3.1.174:8001
